url,version,bazel,buf,circleci,dockerfile,drone,github_actions,gitlab_ci,gomod,goreleaser,gotask,gowork,justfile,mage,makefile
https://github.com/AdaLogics/go-fuzz-headers,v0.0.0-20221206110420-d395f97c4830,False,False,False,False,False,False,False,True,False,False,False,False,False,False
https://github.com/AdamKorcz/go-118-fuzz-build,v0.0.0-20230306123547-8075edf89bb0,False,False,False,False,False,False,False,True,False,False,False,False,False,False
https://github.com/Azure/azure-sdk-for-go,v1.10.0,False,False,False,True,False,True,False,True,False,False,True,False,False,False
https://github.com/Azure/go-ansiterm,v0.0.0-20210617225240-d185dfc1b5a1,False,False,False,False,False,True,False,True,False,False,False,False,False,False
https://github.com/AzureAD/microsoft-authentication-library-for-go,v1.3.2,False,False,False,False,False,True,False,True,False,False,False,False,False,False
https://github.com/BurntSushi/toml,v0.3.1,False,False,False,False,False,True,False,True,False,False,False,False,False,False
https://github.com/Code-Hex/go-generics-cache,v1.5.1,False,False,False,False,False,True,False,True,False,False,False,False,False,False
https://github.com/DATA-DOG/go-sqlmock,v1.5.2,False,False,False,False,False,False,False,True,False,False,False,False,False,False
https://github.com/GoogleCloudPlatform/opentelemetry-operations-go,v1.25.0,False,False,False,True,False,True,False,True,False,False,False,False,False,True
https://github.com/JohnCGriffin/overflow,v0.0.0-20211019200055-46fa312c352c,False,False,False,False,False,False,False,False,False,False,False,False,False,False
https://github.com/KimMachineGun/automemlimit,v0.7.0,False,False,False,False,False,True,False,True,False,False,False,False,False,False
https://github.com/MakeNowJust/heredoc,v1.0.0,False,False,False,False,False,True,False,True,False,False,False,False,False,False
https://github.com/Masterminds/goutils,v1.1.1,False,False,False,False,False,False,False,False,False,False,False,False,False,False
https://github.com/Masterminds/semver,v1.5.0,False,False,False,False,False,True,False,True,False,False,False,False,False,True
https://github.com/Masterminds/sprig,v2.22.0+incompatible,False,False,False,False,False,True,False,True,False,False,False,False,False,True
https://github.com/Masterminds/squirrel,v1.5.4,False,False,False,False,False,False,False,True,False,False,False,False,False,False
https://github.com/Masterminds/vcs,v1.13.3,False,False,False,False,False,True,False,True,False,False,False,False,False,True
https://github.com/Microsoft/cosesign1go,v1.2.0,False,False,False,False,False,True,False,True,False,False,False,False,False,True
https://github.com/Microsoft/didx509go,v0.0.3,False,False,False,False,False,True,False,True,False,False,False,False,False,False
https://github.com/Microsoft/go-winio,v0.4.14,False,False,False,False,False,True,False,True,False,False,False,False,False,False
https://github.com/Microsoft/hcsshim,v0.11.7,False,False,False,True,False,True,False,True,True,False,False,False,False,True
https://github.com/NYTimes/gziphandler,v0.0.0-20170623195520-56545f4a5d46,False,False,False,False,False,False,False,True,False,False,False,False,False,False
